Language_area;Surname_Name;Pseudonym(s);Year_Birth;Year_Death;Nationality;Gender;Journal(s);Notes
DE;Bondy, Friedrich;"Bondy, Fritz; Scarpi, N.O.";1888;1980;"AT; CH";M;MO;"writer, translator, journalist, director; father to Francois Bondy; translated works by Mark Twain, Upton Sinclair, W. Somerset Maugham, George Orwell, Daphne du Maurier, George Mikes, Henry Becque https://de.wikipedia.org/wiki/N._O._Scarpi"
DE;Bonin, Tabitha von;NONE;1893;1963;DE;F;ME;"German translator and writer; translated from Swedish and Norwegian (August Strindberg)"
DE;Borch, Herbert von;NONE;1909;2003;DE;M;MO;"Sociologist, jounalist; born in China, his father became German ambassador to China; studied under Alfred Weber; worked for all the large newspapers in Germany
https://de.wikipedia.org/wiki/Herbert_von_Borch_(Soziologe)"
DE;Borchers, Elisabeth;NONE;1926;2013;DE;F;ME;"German writer and literary translator from French; 1945-54 interpreter for the French occupying power; 1958-60 lived in the US; from 1959 worked as literary editor at the publishing houses Luchterhad-Verlag, Suhrkamp Verlag, Insel Verlag"
DE;Böschenstein, Bernhard;NONE;1931;2019;CH;M;GT;"Swiss literary scholar, Prof of German and Comp Lit at the University of Geneva, interests in Hölderlin and in Celan, translator of modern French poetry
https://de.wikipedia.org/wiki/Bernhard_B%C3%B6schenstein"
DE;Boveri, Margret;NONE;1900;1975;DE;F;MO;"German journalist, not a member of the NSDAP, but highly successful in Nazi-Germany; interned in the US; after the war: avid supporter of the German reunification
https://de.wikipedia.org/wiki/Margret_Boveri"
DE;Braem, H.;Braem, Helmut M.;1922;1977;DE;M;ME;"German writer and translator from English; after 1945 studied English and German philology, history and art history; from 1953 freelance writer, journalist and literary translator, worked with his wife Elisabeth Braem-Kaiser (also translator) on literary translations; member of PEN Centre Germany and VdÜ https://de.wikipedia.org/wiki/Helmut_M._Braem"
DE;Brands, Horst Wilfrid;NONE;1922;1998;DE;M;MO;http://www.unionsverlag.com/info/person.asp?pers_id=1416
DE;Brenner, Hans Georg;NONE;1903;1961;DE;M;WA;"German writer, translator and literary editor, inner emigration, member of Gruppe 47; works for Rowohlt Verlag from 1945, translator of Sartre, also Camus, Jean Genet, Louis Armstrong; one of founding members of VdÜ. https://de.wikipedia.org/wiki/Hans_Georg_Brenner"
DE;Briessen, Fritz van;NONE;1906;1987;DE;M;MO;Writer and diplomat (German ambassador in Japan, 1961-1962) https://de.wikipedia.org/wiki/Fritz_van_Briessen
DE;Broemser, Hans;NONE;1909;Missing;DE;M;"GT; NU";"Studied in both France and Germany, translated from French into German, publishing editor in Mainz
https://www.degruyter.com/database/DLLO/entry/dllo.dll.002.190/html"
DE;Brońska-Pampuch, Wanda;Burmeister, Alfred;1911;1972;"DE; PL";F;ME;"German-Polish writer, publicist, translator; grew up in Zürich and Berlin; father was a supporter of Bolshevism, associated with Lenin, and a Soviet-Russian ambassador in Austria; parents were killed during the Stalinist repressions in 1937; 1938-1946 forced labour in a Gulag; late 1940s was sent to work in West Berlin by Polish government; later moved to Munich; wrote for West German press and the American occupying power; translated from Polish https://de.wikipedia.org/wiki/Wanda_Bro%C5%84ska-Pampuch"
DE;Bukofzer, Werner;NONE;1903;1985;DE;M;GT;"German-Israeli actor and writer, born in Berlin, acting school under Max Reinhardt, associated with Max Brod, 1939 emigrated to Palestine, vice-president of German-speaking authors in Israel; worked for several radio stations in W Germany
https://de.wikipedia.org/wiki/Werner_Bukofzer"
DE;Burger, Karl;NONE;Missing;Missing;Missing;M;NU;
DE;Buri, Friedrich W.;Wongtschowski, Adolf Friedrich (birth name);1919;1999;DE;M;ME;"Jewish German poet and writer; was denied further school education at secondary school (Gymnasium) by Nazis; bisexual; emigrated to the Netherlands in 1937 https://de.wikipedia.org/wiki/Friedrich_W._Buri"
DE;Burschell, Friedrich;NONE;1889;1970;DE;M;NU;"writer, translator, emigrated due to persecution first to France and Spain, then to Czechoslovakia (1934), founder of Thomas-Mann-Gesellschaft, wrote for newspapers, went to GB (1938), worked for the BBC, back to Germany in 1954, Pfälzischen Literaturpreis (1968); pseudonym Karl Lange
https://de.wikipedia.org/wiki/Friedrich_Burschell"
DE;Cairncross, J.;NONE;1913?;1995;GB;M;NU;"(translated DE-EN, poetry competition)
translator, literary scholar, writer (non-fiction), studied French and German, spy in WWII, Soviet double agent (helped the Soviets defeat Germans in major WWII battles), member of the Cambridge Five (?), moved to US 1952, expert on French authors (esp. 17th century poets and dramatists), moved to Rome 1967 (worked as translator), moved to France 1970, died in Britain
https://en.wikipedia.org/wiki/John_Cairncross"
DE;Carlsson, Anni;NONE;1911;2001;DE;F;"ME; NU";"Translator and scholar of German studies; 1931 studied philosophy, German philology and history in Berlin, Cologne, Basel; PhD; husband was Swedish; emigrated to Sweden in the 1930s, returned to Germany in 1950; wrote works about German and Scandinavian literature and their relations, and literary criticism; translated from Danish, Norwegian and Swedish (Hans Christian Andersen, Eyvind Johnson, August Strindberg) https://de.wikipedia.org/wiki/Anni_Carlsson"
DE;Carlsson, Maria;NONE;1937;Missing;DE;F;MO;"Translator; married to Rudolf Augstein; had a child with Martin Walser; translated from English, most famous for her translations of John Updike
https://de.wikipedia.org/wiki/Maria_Carlsson"
DE;Cassirer, Eva;NONE;1920;2009;DE;F;MO;"Philosopher, astronomer, art collector; Cassirer and her mother hid ‘illegals’ in their house during WWII; studied in England and USA; taught in St. Andrews, TU Berlin
https://de.wikipedia.org/wiki/Eva_Cassirer"
DE;Celan, Paul;Antschel, Paul;1920;1970;RO;M;ME;"Romanian-born Germanophone poet and translator; Jewish; studied literature and Romance languages in 1939; 1942-44 labour camp in Romania; lived in Bucharest for two years; translator of Russian literature into Romanian; many pseudonyms; on the emergence of the communist regime in Romania he fled for Vienna; associated with Nelly Sachs and Ingeborg Bachmann; moved to Paris in 1948, became French citizen in 1955 "
DE;Cerny, Vera;NONE;Missing;Missing;Missing;F;MO;
DE;Claes, A.;Gehlhoff-Claes, Astrid;1928;2011;DE;F;ME;"German author and translator; writer of prose and poetry; from 1947 studied German philology and history in Cologne, London; Dr. phil. 1953; supported by Gottfried Benn in her publishing of first literary works; translated from English https://de.wikipedia.org/wiki/Astrid_Gehlhoff-Claes"
DE;Clemen, Ursula;NONE;1910;1993;DE;F;"ME; MO";"German translator of English poems and fairy tales; married to literary scholar Wolfgang Clemen; Dr. phil.;  mother to Harald Clemen (director)"
DE;Cohn, Hans W.;NONE;1916;2004;DE;M;NU;"poet, psychoanalyst, emigrated via Prague to England in 1938, died in London, poem collection Gedichte (1964, Sigbert Mohn Verlag), Existential Thought and Therapeutic Practice (1997, Sage Publications) 
https://de.wikipedia.org/wiki/Hans_Cohn 
https://www.zvab.com/servlet/SearchResults?cm_sp=SearchF-_-topnav-_-Results&kn=hans%20w%20cohn&sts=t"
DE;Conitzer, Gert;Conitzer, Gerhard;1910;1983;DE;M;GT;Jewish?
DE;Curtius, Ernst Robert;NONE;1886;1956;DE;M;ME;"German scholar of literary and Romance Studies; fluent in French and English; studied philology and philosophy in Strasbourg (doctorate, 1910), Berlin, and Heidelberg; 1913 habilitation Bonn; interested in French literature when it was considered ‘the enemy's literature’; associated with other European writers (André Gide, T. S. Eliot, José Ortega y Gasset, etc.), married to Ilse Curtius"
DE;Curtius, Ilse;Gsottschneider, Ilse (birth name);1907;2002;DE;F;ME;"German scholar of Romance Studies; married to Ernst Robert Curtius; studied philology"
DE;Czach, Alfred;NONE;Missing;Missing;Missing;M;MO;
DE;Dachauer, S.;NONE;Missing;Missing;Missing;Missing;UM;
DE;Damjakob, B.;NONE;Missing;Missing;Missing;Missing;NU;translated Wordsworth
DE;Dedecius, Karl;NONE;1921;2016;DE;M;"ME; MO";"German writer and translator of Polish, Russian and Serbian literature; born in Łódź; taught himself Russian while being a prisoner of war in the Soviet Union from 1942/43 to 1950; returned to Weimar, DDR in 1950; fled to BRD in 1952; employee at Allianz AG; translated from Polish (Zbigniew Herbert, Stanisław Jerzy Lec, Czesław Miłosz); member of PEN Centre Germany; 1978/80 initiated the Deutsche Polen-Institut in Darmstadt (German Poland institute), its director until 1997 https://de.wikipedia.org/wiki/Karl_Dedecius"
DE;Dehio, Hanna;NONE;Missing;Missing;Missing;F;MO;
DE;Demetz, Peter;"Toussell, Peter; Demetz, Petr (birth name)";1922;Missing;"CZ; US";M;ME;"US-American author, translator, literature scholar, Sterling Professor emeritus at Yale University; Jewish German-Czech origin; Jewish mother died in concentration camp; forced labour; studied German philology in Prague after WW2; 1948 Dr. phil.; editor at Radio Free Europe/Radio Liberty; emigrated to the US in 1953, since 1958 US-citizenship; Master of Arts (Columbia University, 1954) and PhD (Yale University, 1956); professor at Yale University; works as reviewer at the Frankfurter Allgemeine Zeitung https://de.wikipedia.org/wiki/Peter_Demetz_(Literaturwissenschaftler)"
DE;Dietrich, Wolfram;NONE;Missing;Missing;Missing;M;NU;"book about Simon Bolivar (first edition 1934)
https://www.buecher.de/shop/neuzeit-bis-1918/simon-bolivar/dietrich-wolfram/products_products/detail/prod_id/33838081/"
DE;Dietz, Günter;NONE;1930;2017;DE;M;ME;"German scholar of classical philology, poet and translator from Greek; 1949-54 studied classical philology, German philology and philosophy in Freiburg; PhD; 1958-64 teacher at Deutsche Schule Athen, started to translate Greek poet Odysseas Elytis; 1972-93 headmaster at a school in Heidelberg https://de.wikipedia.org/wiki/G%C3%BCnter_Dietz"
DE;Distel, Marjele;NONE;Missing;Missing;Missing;F;NU;
DE;Dobbert, Helga;NONE;Missing;Missing;Missing;F;MO;
DE;Doblhofer, Ernst;NONE;1919;2002;AT;M;MO;"Classics scholar (Prof. Universität Kiel), teacher, translated from English 
https://de.wikipedia.org/wiki/Ernst_Doblhofer"
DE;Dohm, A.;NONE;Missing;Missing;DE;M;NU;"https://de.wikipedia.org/wiki/Alfred_Dohm > right person?
politician, journalist, served in WWII, American war captivity (released end of 1945), editor of Saarbrücker Zeitung after the war, 1947 member of Sozialdemokratische Partei des Saarlandes (SPS), 1957 member of CDU"
DE;Dor, Milo;NONE;1923;2005;"RS; AT";M;ME;"Serbian-Austrian writer and translator; grew up in Serbia; participated in the resistance movement against the German occupants; imprisoned by Gestapo, forced labour in Vienna; stayed in Austria after WW2 and studied theatre and Romance studies until 1949 while working as a journalist; member of Gruppe 47 and the Austrian PEN Club; president of the Austrian Writers Federation; writer of historical novels dealing with Yugoslavian and European history, essays criticizing nationalism in Yugoslavia, crime fiction, news coverages, screenplays and radio dramas; translated Serbo-Croatian literature"
DE;Dorn, Wilhelm;NONE;1893;1974;DE;M;NU;"(not sure if he translated a work in 3.3.1948) (Das letzte Geschenk 1949, Essen); Publ Farber
writer (novels, satires, poems), translator, teacher, translated several works together with Kurt Lütgen
https://de.wikipedia.org/wiki/Wilhelm_Dorn"
DE;Draws-Tychsen, Hellmut;NONE;1904;1973;DE;M;GT;"German writer and translator, ethnologist; forbidden to publish by Nazis 
https://verbrannte-und-verbannte.de/person/1688"
DE;Drohla, Gisela;NONE;1924;1983;DE;F;MO;"Translator, poet, editor; translated from Russian
https://de.wikipedia.org/wiki/Gisela_Drohla"
DE;Droß, Armin;NONE;Missing;Missing;Missing;M;MO;
DE;Drösser, Ellinor;NONE;Missing;Missing;Missing;F;NU;"http://worldcat.org/identities/viaf-12688239/; Inferred nationality DE
published works between 1908-1930; publication posthumously in 1932"
DE;Drozdowski, Georg;NONE;1899;1987;AT;M;ME;"Austrian writer, journalist, translator, actor; born in western Ukraine, grew up in Vienna, Austria; lived in Chernivtsi, worked there as a bank clerk while publishing prose and poetry in journals; 1940 returned to Vienna; from 1945 worked for Kärntner Volkszeitung in Klagenfurt https://de.wikipedia.org/wiki/Georg_Drozdowski"
DE;Dülberg, Peter;"Duelberg, Peter; Clemens, Friedrich";1911;1976;DE;M;"ME; MO";Translated from French and English
DE;Duncker, Erwin;NONE;Missing;Missing;Missing;M;MO;
DE;Dürrenmatt, Friedrich;NONE;1921;1990;CH;M;ME;"Swiss writer, playwright and painter; 1941-46 studied philosophy, science, German literature at the University of Bern"
DE;Ebel, Gjuro;NONE;Missing;Missing;Missing;Missing;GT;Translated biblical sources and plays from Croatian into German
DE;Eckardt-Skalberg, Elfriede;NONE;1884;1964;Missing;F;GT;"Poet, translation from RU and LT; translates Eugene Onegin"
DE;Ege, Friedrich;NONE;1899;1972;DE;M;GT;Communist exile author and journalist, 1933 emigrates to Sweden, 1936 to Helsinki
DE;Ege, Friedrich;NONE;1899;1972;DE;M;ME;"German assistant director; 1933 emigrated to Sweden; from 1936 journalist and writer in Helsinki"
DE;Ehrenstein, Albert;NONE;1886;1950;DE;M;GT;"Germanophone poet and writer, of Hungarian Jewish descent, pacifist, moves in same circles as Martin Buber, writes for Dadaist magazine Die Neue Jugend, alongside George Grosz and Johannes R. Becher; his works are on list of those to be burnt in 1933, later acquired Czech nationality; fled to England to brother Carl, then on to France, then Spain in 1941
https://de.wikipedia.org/wiki/Albert_Ehrenstein"
DE;Eichel, Günter;NONE;1921;1987;DE;M;MO;"Writer, journalist, translator; famous for translating Ian Fleming’s James Bond-novels
https://de.wikipedia.org/wiki/G%C3%BCnter_Eichel"
DE;Eicke, Werner;NONE;Missing;Missing;Missing;M;ME;Translator from French
DE;Einsiedel, Wolfgang von;NONE;1903;1967;DE;M;"ME; MO";"German editor, literary historian, composer; Dr. phil.; translated from English and French https://www.deutsche-biographie.de/sfz036_00281_1.html"
DE;Elster, Hanns Martin;NONE;1888;1983;DE;M;GT;"Writer and Nazi sympathiser, editor of the magazine Das Dritte Reich, then after WW2 editor of Die Lesewelt
https://www.alma-mahler.at/deutsch/almas_life/elster.html"
DE;Emmerich, Leo;NONE;Missing;Missing;DE;M;ME;Translator from English (Richard Hillary, Brian Crozier and Arnold J. Toynbee)
DE;Enzensberger, Christian;NONE;1931;2009;DE;M;ME;"German professor of English studies, author and translator of English literature; brother of Hans Magnus Enzensberger"
DE;Enzensberger, Hans Magnus;"Enzensberger, H. M.; Thalmayr, Andreas; Quilt, Linda; Ambras, Elisabeth; Pellizzi, Giorgio; Pfaff, Benedikt; Buddensiek, Trevisa; Brezengang, Serenus M.";1929;Missing;DE;M;ME;"German writer, poet, translator and editor; studied literature and philosophy in Germany and France; PhD 1955, brother of Christian Enzensberger"
DE;Erné, Nino;Bland, Gur;1921;1994;DE;M;ME;"German journalist, writer and literary translator; grew up in Berlin, Milan and Trieste; mother was so-called ‘half-Jew’; wrote poetry, novels, essays and critics, translated from French, English and Italian https://de.wikipedia.org/wiki/Nino_Ern%C3%A9"
DE;Escher, Stefan W.;NONE;Missing;Missing;Missing;M;MO;
DE;Faiß, Ottmar;NONE;Missing;Missing;Missing;M;NU;"entry in denazification file Landesarchiv Baden-Württemberg; war captive in GB
https://www.deutsche-digitale-bibliothek.de/item/JR72G2NWLGC2YPGZDW4TEZJRFAPAK5F4"
DE;Farny, Erika;NONE;1932;Missing;DE;F;ME;"German lecturer at the University of Heidelberg and translator; translated from Spanish and Portuguese"
DE;Federmann, Reinhard;NONE;1923;1976;AT;M;"ME; MO";"Austrian writer and translator, journalist, editor; translated mainly from Serbo-Croat and English; associated with Milo Dor; father was ‘half-Jew’; prisoner of war, released in 1945; worked at publishing house Erwin Müller Verlag; founder of literary journal Die Pestsäule; from 1961 member a of P.E.N Club Austria (later general secretary)"
DE;Feist, Hans;NONE;1887;1952;DE;M;MO;https://www.deutsche-biographie.de/sfz042_00355_1.html
DE;Fischer, Georg;NONE;Missing;Missing;Missing;M;GT;Translated from PER into German
DE;Fischer-Wernecke, Elisabeth;NONE;Missing;Missing;Missing;F;MO;
DE;Flesch-Brunningen, Hans;"Bruning, Johannes von; Brun, Vincent; Flesch-Brun";1895;1981;AT;M;MO;"Pseudonym: Johannes von Bruning, Vincent Brun, Flesch-Brun; writer, translator; emigrated to UK; married to writer Hilde Spiel 
https://de.wikipedia.org/wiki/Hans_Flesch-Brunningen"
DE;Frank, Rudolf;Frank, William G.;1886;1979;DE;M;NU;"not sure if he translated a work by Wallace (1.4.1946) but worked for the publisher at the time
translated work by Paassen (2.3.1947)
theatre director and critic, writer, translator, Jewish, served during WWI, spent time in Romania and Italy, published his works under pseudonyms starting 1933, fled to Vienna in 1936, emigrated to Meran and then to Zurich in 1938, translated over 50 novels (John Steinbeck, Richard Wright among other)
https://de.wikipedia.org/wiki/Rudolf_Frank_(Schriftsteller)"
DE;Frank, William G.;NONE;Missing;Missing;Missing;M;NU;is perhaps the same person as: Rudolf Frank?
DE;Franz, M. A. von;NONE;Missing;Missing;Missing;Missing;ME;Translated from French 
DE;Franzen, Erich;NONE;1892;1961;DE;M;"ME; MO";"German writer and literary critic; studied law (Dr. jur.), literary studies and social psychology (Dr. rer. pol.); after WW1 wrote for various journals and newspapers (Frankfurter Zeitung, Die Weltbühne) and worked as a translator; leading member of the Schutzbund der deutschen Schriftsteller (SDA); emigrated to the US in 1934 to flee Nazis and worked there as lecturer at various universities; returned to Germany in 1951; worked as theatre critic and translator for Neue Zeitung; from 1954 member of Deutsche Akademie für Sprache und Dichtung https://de.wikipedia.org/wiki/Erich_Franzen"
DE;Frenzel, Herbert;NONE;1908;1995;DE;M;ME;"German journalist, translator, interpreter, scholar of Scandinavian studies, theatre studies and dramaturg; worked for Berlin NSDAP-journal Der Angriff, married to anti-Semitic literary scholar Elisabeth Lüttig-Niese https://de.wikipedia.org/wiki/Herbert_A._Frenzel"
DE;Fried, Erich;NONE;1921;1988;"AT; GB";M;"ME; NU";"Jewish Austrian-born poet, writer and translator; fled to England after the annexation of Austria by Nazi Germany in 1938  (father murdered by Gestapo); helped other Jews, adopted British Nationality (1949), political commentator for BBC German; settled in London, adopted British Nationality in 1949, controversial work (attacks on Zionist movement, support for left-wing causes), known in Germany and Austria for political poetry; 1952-1968 political commentator for the BBC German Service; 1947-1952 member of Gruppe 47; wrote plays and short novels, translated from English, notably William Shakespeare; 1962 returned to Vienna, 1982 regained Austrian nationality but retained British nationality"
DE;Fritz, Karl Egon;Vietta, Egon;1903;1959;DE;M;GT;German travel writer, essayist and dramatist. https://de.wikipedia.org/wiki/Egon_Vietta
DE;Fromm, Hans;NONE;1919;2008;DE;M;GT;"Prof of German Medieval Lit and Finno-Ugric Langs at the University of Munich
https://de.wikipedia.org/wiki/Hans_Fromm_(Germanist)"
DE;Furreg, Herbert;NONE;1897;1958;AT;M;GT;"Studies Philosophy and English in Vienna and Göteborg; playwright, theatre director in Graz and Munich and Salzburg; moved to Brussels in 1942; 1951 returns to Salzburg; wife Waltraud Furreg also translator
https://www.onb.ac.at/bibliothek/sammlungen/literatur/bestaende/personen/furreg-herbert-1897-1958"
DE;Gal, Oda von;NONE;1919;Missing;DE;F;WA;"Studied languages and history, translator in Heidelberg, PhD; daughter of Karl Sigfrid von Gal (1871-1957), Diplom-Dolmetscherin Frl. Dr. phil. Died before 2006."
DE;George, Stefan;NONE;1868;1933;DE;M;NU;"symbolist poet, translator (Shakespeare, Baudelaire), time in London and Paris, main person of the “George-Kreis”, homosexual, his poetry emphasized self-sacrifice, heroism, and power, won approval of National Socialists, NSDAP adopted concepts, detested their racial theories, influenced the Stauffenberg brothers, refused offer of presidency of a new academy for arts by Goebbels in 1933, travelled to Switzerland where he died
https://de.wikipedia.org/wiki/Stefan_George"
DE;Gerhard, Karl;NONE;Missing;Missing;Missing;M;GT;Translated from Swiss German? into German
DE;Gerhardt, Renate;NONE;1926;2017;Missing;F;ME;"Literary translator; worked on translations from French and English with her husband Rainer Maria Gerhardt (Ezra Pound, T. S. Eliot, Claire Goll, Aimé Césaire) https://de.wikipedia.org/wiki/Rainer_Maria_Gerhardt"
DE;Gescher-Ringelnatz, Leonharda;"Pieper, Leonharda; Muschelkalk; Gescher-Ringelnatz, Leonharda";1898;1977;DE;F;MO;"Wife to German poet Joachim Ringelnatz, edited his works after his death, worked as translator in post-war Berlin (English, French); https://de.wikipedia.org/wiki/Muschelkalk_Ringelnatz"
DE;Gillischewski, Ruth;NONE;Missing;Missing;Missing;F;MO;
DE;Glaeser, Ernst;"Ditschler, Anton; Meschede, Erich; Ruppel, Alexander; Töpfer, Ernst";1902;1963;DE;M;KA;"German author, 1928-30 heads literary dept of Südwestdeutsche Rundfunk; international success with pacifist work Jahrgang 1902; books burnt in 1933, flees to Czechoslovakia, then on to Italy and Switzerland; Glaeser becomes more conservative in outlook, returns in 1939 to Germany, and gains approval of Nazi regime
https://de.wikipedia.org/wiki/Ernst_Glaeser
Also see bio of Glaeser in the notes at the back of KA II, 12 (June 1947)"
DE;Gradaus, Hans;NONE;Missing;Missing;Missing;M;GT;Translated from French into German
DE;Granzow, Brigitte;NONE;Missing;Missing;Missing;F;ME;"Editor at Westdeutscher Rundfunk; PhD; translated from English (Hannah Arendt)"
